author,language,level,level_grammar,level_ortography,level_vocabulary_range,level_vocabulary_control,level_coherence,level_appropriateness,text,text_target,score,cefr,model_input
1061_0120425,1,2,2,2,2,2,2,3,"Stadt X, 13.03.2011 Lieber Michael Danke für deinen netten Brief. Ich habe mich sehr gefreut, dass du die Silvesternacht mit Franz und Daniela verbracht hast, und alles war prima gewessen. Meine wünsche für das neue Jahr sind alles über meinen Sohn und seine Erfolge in der verschiedenen Zielen. Bei unserem Arbeit auser neuer Verpachung Maschin gibt nicht neues. Wenn du uns besucht, möchte ich dass wir zusammen richtig feiern. Wie wäre es mit dem Essen in einem chinesischen Resturant? Am Silvesternacht wir waren in Stadt X und haben wir in einem guten chinesichen Resturant gegessen. Das war super. Bitte sagst du Bescheid. Schöne Grüße von meinem Mann Julia","Stadt X , 13.03.2011 Lieber Michael ! Danke für deinen netten Brief . Ich habe mich sehr gefreut , dass du die Silvesternacht mit Franz und Daniela verbracht hast , und alles war prima gewesen . Meine Wünsche für das neue Jahr sind alle über meinen Sohn und seine Erfolge in den verschiedenen Zielen . Bei unserer Arbeit gibt es nichts Neues , außer einer neuen Verpackungsmaschine . Wenn du uns besuchst , möchte ich , dass wir zusammen richtig feiern . Wie wäre es mit dem Essen in einem chinesischen Restaurant ? In der Silvesternacht waren wir in Stadt X und haben in einem guten chinesischen Restaurant gegessen . Das war super . Bitte sag Bescheid . Schöne Grüße von meinem Mann Julia",4.333333333333333,B1,"CEFR Level: B1

Answer:
Stadt X, 13.03.2011 Lieber Michael Danke für deinen netten Brief. Ich habe mich sehr gefreut, dass du die Silvesternacht mit Franz und Daniela verbracht hast, und alles war prima gewessen. Meine wünsche für das neue Jahr sind alles über meinen Sohn und seine Erfolge in der verschiedenen Zielen. Bei unserem Arbeit auser neuer Verpachung Maschin gibt nicht neues. Wenn du uns besucht, möchte ich dass wir zusammen richtig feiern. Wie wäre es mit dem Essen in einem chinesischen Resturant? Am Silvesternacht wir waren in Stadt X und haben wir in einem guten chinesichen Resturant gegessen. Das war super. Bitte sagst du Bescheid. Schöne Grüße von meinem Mann Julia"
1091_0000215,1,1,2,2,2,1,2,1,"Michael Müller Zentralplatz 123 54321 Stadt X-Vorort Stadt Yer Wohnungsamt. Stadt X, den 10 März 2012 Stadt Z Für neue Wohnung zu mieten Sehr geehrte Damen und Herren, Ich interessiere mich für eine neue Wohnung, weil ich demnächst nach Stadt Z ausziehen muss. Ich bin Arzt von Beruf und jetzt habe ich einen Job in Stadt Z. Ich wohne in der Akademie Klausenhof in Stadt X und brauche eine größere Wohnfläche. Ich möchte einige Informationen über die Wohnung. Wie viele Zimmer hat die? Hat die einen Balkon oder eine Garage? Ich habe ein Auto und brauche eine Garage. Und wie hoch sind die Miete und Nebenkosten? Ich hoffe auf eine baldige Antwort. Mit freundlichen Grüßen, Michael Müller","Michael Müller Zentralplatz 123 54321 Stadt X-Vorort Stadt Yer Wohnungsamt . Stadt X , den 10 . März 2012 Stadt Z Neue Wohnung zu mieten Sehr geehrte Damen und Herren , ich interessiere mich für eine neue Wohnung , weil ich demnächst nach Stadt Z ausziehen muss . Ich bin Arzt von Beruf und jetzt habe ich einen Job in Stadt Z . Ich wohne in der Akademie Klausenhof in Stadt X und brauche eine größere Wohnfläche . Ich möchte einige Informationen über die Wohnung . Wie viele Zimmer hat die ? Hat die einen Balkon oder eine Garage ? Ich habe ein Auto und brauche eine Garage . Und wie hoch sind die Miete und die Nebenkosten ? Ich hoffe auf eine baldige Antwort . Mit freundlichen Grüßen , Michael Müller",3.333333333333334,A2,"CEFR Level: A2

Answer:
Michael Müller Zentralplatz 123 54321 Stadt X-Vorort Stadt Yer Wohnungsamt. Stadt X, den 10 März 2012 Stadt Z Für neue Wohnung zu mieten Sehr geehrte Damen und Herren, Ich interessiere mich für eine neue Wohnung, weil ich demnächst nach Stadt Z ausziehen muss. Ich bin Arzt von Beruf und jetzt habe ich einen Job in Stadt Z. Ich wohne in der Akademie Klausenhof in Stadt X und brauche eine größere Wohnfläche. Ich möchte einige Informationen über die Wohnung. Wie viele Zimmer hat die? Hat die einen Balkon oder eine Garage? Ich habe ein Auto und brauche eine Garage. Und wie hoch sind die Miete und Nebenkosten? Ich hoffe auf eine baldige Antwort. Mit freundlichen Grüßen, Michael Müller"
1023_0109524,1,3,3,4,3,2,3,3,"Michael Meier 2011, October 8, Stadt X Müllergasse 12 Stadt X, Bulgarien, 4321 Aupairsglobal Bahnhofstr. 101 Wiesbaden 0611/9988776 Sehr geehrte Damen und Herren Ich habe Ihre Anzeige fur Au-pair Stellen in Deutschland gelesen und interessiere mich für eine zukünftige Bewerbung Möchte ich aber zuerst ein weitere Information haben- ausfürliches Info wird mir helfen Nach meinem Schulabschluss mit sehr guten Noten (an Englischen Gymnasium) habe ich begonnen Kommunikationswissenschaften zu studieren mit dem Schwerpunkt Neuen Medien. und möche in EU arbeiten Aufgrund der EU Entrett können wir in Deutschland ohne Visum arbeiten. Ich möchte fragen - Wieviel dauert die Vermittlung und ob brauche ich Legaliesierung der Diplome? Ich darf betonen, dass ich möchte einer deutschstämmige Familie becuchen um zu meine Sprachkenntnisse weiter zu verbessern. Ich verfüge über gut mündlich und schriftlich Äußerung auf Deutsch, aber gehe ich nicht in auslandstämmige Familien. Können Sie bitte umfassende Unterlagen über Arbeitszeiten und zukünftige Verpflichtungen schicken? Ich kann viele Arbeit machen und mit den Kinder spiele ich gern, da brauche ich wenige Freizeit - zum Beispiel vonn Sammstagnachmitag bis zum Montagmorgen. Wegen diese Jahr möchte ich zwei oder drei Mal meine Familie in Heimat auch besuchen. Für eine personal Einladung würde ich mich sehr freuen und für weitere Fragen stehe ich immer über Verfügung Michael Meier","Michael Meier 2011 , Oktober 8 , Stadt X Müllergasse 12 Stadt X , Bulgarien , 4321 Aupairsglobal Bahnhofstr . 101 Wiesbaden 0611 / 9988776 Sehr geehrte Damen und Herren ! Ich habe Ihre Anzeige für Au-pair-Stellen in Deutschland gelesen und interessiere mich für eine zukünftige Bewerbung . Ich möchte aber zuerst eine weitere Information haben - ausführliche Info wird mir helfen . Nach meinem Schulabschluss mit sehr guten Noten ( am englischen Gymnasium ) habe ich begonnen Kommunikationswissenschaften zu studieren mit dem Schwerpunkt Neue Medien , und ich möchte in der EU arbeiten . Aufgrund des EU-Beitritts können wir in Deutschland ohne Visum arbeiten . Ich möchte fragen , wie lange die Vermittlung dauert und ob ich eine Legalisierung der Diplome brauche ? Ich darf betonen , dass ich eine deutschstämmige Familie besuchen möchte , um meine Sprachkenntnisse weiter zu verbessern . Ich verfüge über gute mündliche und schriftliche Äußerung auf Deutsch , aber ich gehe nicht in auslandstämmige Familien . Können Sie bitte umfassende Unterlagen über Arbeitszeiten und zukünftige Verpflichtungen schicken ? Ich kann viel Arbeit machen und mit den Kindern spiele ich gern , da brauche ich wenig Freizeit - zum Beispiel von Samstagnachmittag bis zum Montagmorgen . Wegen dieses Jahres möchte ich auch zwei oder drei Mal meine Familie in der Heimat besuchen . Über eine personale Einladung würde ich mich sehr freuen und für weitere Fragen stehe ich immer zur Verfügung . Michael Meier",6.0,B2,"CEFR Level: B2

Answer:
Michael Meier 2011, October 8, Stadt X Müllergasse 12 Stadt X, Bulgarien, 4321 Aupairsglobal Bahnhofstr. 101 Wiesbaden 0611/9988776 Sehr geehrte Damen und Herren Ich habe Ihre Anzeige fur Au-pair Stellen in Deutschland gelesen und interessiere mich für eine zukünftige Bewerbung Möchte ich aber zuerst ein weitere Information haben- ausfürliches Info wird mir helfen Nach meinem Schulabschluss mit sehr guten Noten (an Englischen Gymnasium) habe ich begonnen Kommunikationswissenschaften zu studieren mit dem Schwerpunkt Neuen Medien. und möche in EU arbeiten Aufgrund der EU Entrett können wir in Deutschland ohne Visum arbeiten. Ich möchte fragen - Wieviel dauert die Vermittlung und ob brauche ich Legaliesierung der Diplome? Ich darf betonen, dass ich möchte einer deutschstämmige Familie becuchen um zu meine Sprachkenntnisse weiter zu verbessern. Ich verfüge über gut mündlich und schriftlich Äußerung auf Deutsch, aber gehe ich nicht in auslandstämmige Familien. Können Sie bitte umfassende Unterlagen über Arbeitszeiten und zukünftige Verpflichtungen schicken? Ich kann viele Arbeit machen und mit den Kinder spiele ich gern, da brauche ich wenige Freizeit - zum Beispiel vonn Sammstagnachmitag bis zum Montagmorgen. Wegen diese Jahr möchte ich zwei oder drei Mal meine Familie in Heimat auch besuchen. Für eine personal Einladung würde ich mich sehr freuen und für weitere Fragen stehe ich immer über Verfügung Michael Meier"
1091_0000249,1,1,2,2,2,2,2,2,"Liebe Julia, 13.03.2012 Letzte monad habe ich ein plan gemacht nach Polen fahren, und habe ich mein ticket schon gekauft. Das sollte am näechste wochenende, am Samstag um 10.00 aus Stadt X nach Stadt Y. Leider muss ich meine plan zu wecseln weil ich werde sehr beschäftig sein; werde ich ein termin mit meinem Direktor haben. Wolltest du mein fahrkarte abholen? Die Angaben auf das Verkehrsmittel findest du zusätzlich mit email. Viel Spaß Deine Maria","Liebe Julia , 13.03.2012 letzten Monat habe ich einen Plan gemacht , nach Polen zu fahren , und ich habe mein Ticket schon gekauft . Das sollte am nächsten Wochenende , am Samstag um 10.00 von Stadt X nach Stadt Y sein . Leider muss ich meinen Plan wechseln , weil ich werde sehr beschäftigt sein ; ich werde einen Termin mit meinem Direktor haben . Wolltest du meine Fahrkarte abholen ? Die Angaben zu dem Verkehrsmittel findest du zusätzlich mit einer E-Mail . Viel Spaß Deine Maria",4.0,A2,"CEFR Level: A2

Answer:
Liebe Julia, 13.03.2012 Letzte monad habe ich ein plan gemacht nach Polen fahren, und habe ich mein ticket schon gekauft. Das sollte am näechste wochenende, am Samstag um 10.00 aus Stadt X nach Stadt Y. Leider muss ich meine plan zu wecseln weil ich werde sehr beschäftig sein; werde ich ein termin mit meinem Direktor haben. Wolltest du mein fahrkarte abholen? Die Angaben auf das Verkehrsmittel findest du zusätzlich mit email. Viel Spaß Deine Maria"
1091_0000192,1,1,1,2,2,1,2,1,"Michael Friedrich Meier Stadt X Akademie Klausenhof Bahnhofsstraße 123 12345 Stadt X „Das Wohnungsamt (u. adresse)“ Eine Wohnung Suche Sehr Geerhte Damen und Herren, Suche ich gerne auf eine neue Wohnung, und habe ich Interesse mit ihre Anzeige in FR vom 09.03.2012. Hätte ich noch nähere Informationen, zum beispiel wie viele Zimmer die Wohnung hat. Gibt es ein Balkon oder nicht? Am endsten, wie viel ist das Miete? Ich hoffe eine bäldige Information. Freundlichen Grüßen Michael Friedrich Meier","Michael Friedrich Meier Stadt X Akademie Klausenhof Bahnhofsstraße 123 12345 Stadt X "" Das Wohnungsamt ( u . Adresse ) "" Eine Wohnungssuche Sehr geehrte Damen und Herren , ich suche gerne eine neue Wohnung , und ich habe Interesse an Ihrer Anzeige in FR vom 09.03.2012 . Ich hätte noch nähere Informationen , zum Beispiel wie viele Zimmer die Wohnung hat . Gibt es einen Balkon oder nicht ? Am Ende , wie viel ist die Miete ? Ich hoffe auf eine baldige Information . Mit freundlichen Grüßen Michael Friedrich Meier",3.0,A2,"CEFR Level: A2

Answer:
Michael Friedrich Meier Stadt X Akademie Klausenhof Bahnhofsstraße 123 12345 Stadt X „Das Wohnungsamt (u. adresse)“ Eine Wohnung Suche Sehr Geerhte Damen und Herren, Suche ich gerne auf eine neue Wohnung, und habe ich Interesse mit ihre Anzeige in FR vom 09.03.2012. Hätte ich noch nähere Informationen, zum beispiel wie viele Zimmer die Wohnung hat. Gibt es ein Balkon oder nicht? Am endsten, wie viel ist das Miete? Ich hoffe eine bäldige Information. Freundlichen Grüßen Michael Friedrich Meier"
1061_0120337,1,2,2,3,2,2,2,3,"Sehr geehrte Frau Silke Stadt X(27/02/2012) Ich bedanke bei Ihnen Für den Brief. Ich habe an Ihren Gedanke gedacht und ich finde es schön. vielleicht komme ich für ein Paar Tage zu Ihnen zu besuchen, Für mich mag ich die Tiere nich. ich habe probleme mit sie besonders die Katzen. auf Jedenfall danke ich Ihnen Für Ihren vorschlag. Ich wünsche mir viele im meinem lebem: aber für meinen Geburtstag nichts viel. Für mich reicht aus wenn ich viele Erinnerungen indiesem besondern Tag habe Die mit Freunden und Familie sind. Ich habe kein interesse an Geschenken und sowas. deswegen sollen sie kein interesse am Geschenkt Für mich Also. Mit und meiner familie geht es gut außer Meinem Vater hat ein Problem mit der Gesundheit aber sie wissen wie immer. Es ist vorbei Er ist zurzeit wieder Gesund und passen sie auf Ihre Familie auf Mit Freundlichen Grüßen Michael","Sehr geehrte Frau Silke , Stadt X ( 27 / 02 / 2012 ) ich bedanke mich bei Ihnen für den Brief . Ich habe an Ihren Gedanken gedacht und ich finde es schön . Vielleicht komme ich für ein paar Tage zu Ihnen zu Besuch . Ich mag die Tiere nicht , ich habe Probleme mit ihnen , besonders mit den Katzen . Jedenfalls danke ich Ihnen für Ihren Vorschlag . Ich wünsche mir viel in meinem Leben , aber für meinen Geburtstag nicht viel . Für mich reicht es aus , wenn ich viele Erinnerungen an diesen  besonderen Tag habe , an Freunde und Familie . Ich habe kein Interesse an Geschenken und so  was . Deswegen sollen sie also  kein Interesse am Geschenk für mich haben . Mir und meiner Familie geht es gut , nur mein Vater hat ein Problem mit der Gesundheit , aber sie wissen wie immer , es ist vorbei . Er ist zurzeit wieder gesund und sie passt auf Ihre Familie auf . Mit freundlichen Grüßen Michael",4.666666666666667,B1,"CEFR Level: B1

Answer:
Sehr geehrte Frau Silke Stadt X(27/02/2012) Ich bedanke bei Ihnen Für den Brief. Ich habe an Ihren Gedanke gedacht und ich finde es schön. vielleicht komme ich für ein Paar Tage zu Ihnen zu besuchen, Für mich mag ich die Tiere nich. ich habe probleme mit sie besonders die Katzen. auf Jedenfall danke ich Ihnen Für Ihren vorschlag. Ich wünsche mir viele im meinem lebem: aber für meinen Geburtstag nichts viel. Für mich reicht aus wenn ich viele Erinnerungen indiesem besondern Tag habe Die mit Freunden und Familie sind. Ich habe kein interesse an Geschenken und sowas. deswegen sollen sie kein interesse am Geschenkt Für mich Also. Mit und meiner familie geht es gut außer Meinem Vater hat ein Problem mit der Gesundheit aber sie wissen wie immer. Es ist vorbei Er ist zurzeit wieder Gesund und passen sie auf Ihre Familie auf Mit Freundlichen Grüßen Michael"
1061_0120319,1,2,2,2,3,2,3,3,"Stadt X, den 24.02.12 Liebe Silke, viel Dank für deine Brief. Ich bin wieder gesund und meiner Familie geht ganz gut. Maria geht schon in der Schule und Michael ist jetzt in der elften Klasse. Meine Frau hat ein paar Auftrage in Ihre Selbstängichkeit und ich habe der erste Ausstellung in Stadt Y vorbereitet. Wir arbeiten viel und haben nicht so viel Zeit. Unsere Tochter aber hat Zeit und sie vollte einen Hund haben. Deswegen hat sie einen zum Geburtstag gekrigt. Dein eingeladung farht uns sehr und wir konnen am 16. Juni (meine Geburtstag) zum euch kommen Ich wollte vom euch nur ihre freunde zum Gebustag Vile Gruße, Friedrich","Stadt X , den 24.02.12 Liebe Silke , vielen Dank für deinen Brief . Ich bin wieder gesund und meiner Familie geht es ganz gut . Maria geht schon in die Schule und Michael ist jetzt in der elften Klasse . Meine Frau hat ein paar Aufträge in ihrer Selbstständigkeit und ich habe die erste Ausstellung in Stadt Y vorbereitet . Wir arbeiten viel und haben nicht so viel Zeit . Unsere Tochter aber hat Zeit und sie wollte einen Hund haben . Deswegen hat sie einen zum Geburtstag gekriegt . Deine Eingeladung freut uns sehr und wir können am 16 . Juni ( mein Geburtstag ) zu euch kommen . Ich wollte von euch nur ihre Freunde zum Geburtstag . Viele Grüße , Friedrich",5.0,B1,"CEFR Level: B1

Answer:
Stadt X, den 24.02.12 Liebe Silke, viel Dank für deine Brief. Ich bin wieder gesund und meiner Familie geht ganz gut. Maria geht schon in der Schule und Michael ist jetzt in der elften Klasse. Meine Frau hat ein paar Auftrage in Ihre Selbstängichkeit und ich habe der erste Ausstellung in Stadt Y vorbereitet. Wir arbeiten viel und haben nicht so viel Zeit. Unsere Tochter aber hat Zeit und sie vollte einen Hund haben. Deswegen hat sie einen zum Geburtstag gekrigt. Dein eingeladung farht uns sehr und wir konnen am 16. Juni (meine Geburtstag) zum euch kommen Ich wollte vom euch nur ihre freunde zum Gebustag Vile Gruße, Friedrich"
1031_0002092,1,4,4,4,4,4,4,3,"Das Thema des Aufsatzes ist so interessant, dass ich mich gerne damit beschäftigen werde. In meiner Arbeit geht es um das Thema „Ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes fortzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren?"" Ich denke, da müssen wir Folgendes unterscheiden: Aus welchen Land und Kultur man kommt. Wie sind uns die Traditionen unseres Heimatlandes wichtig. Mir scheint in diesem Fall, dass die Menschen die aus Asien oder Indien stammen habe ihre Traditionen tiff im Herzen. Die werden ziemlich oft versuchen ihre Kultur ins Ausland fortzusetzen. Ich finde, dass manche Traditionen sollen ins Ausland mitgebracht werden. Wir, die in Europa wohnen , können einige Traditionen über den Orient erfahren, ohne verreisen zu müssen. Wir kennen einfach in die Asiatische, Indische oder Mexikanische Restaurant gehen und das Essen anderen Länders genissen. Das beurteile ich ganz positiv. Leider es gibt auch ganz viele Nachteile, wenn die Ausländer ihre Traditionen fortzusetzen wollen, wie z.B. Frauen die aus dem Muslimischen Ländern kommen und uns ihre Gesichter nicht zeigen wollen, weil Sie einen Kopftuch und einen Gesichtschleier tragen. Das finde ich nicht in Ordnung, weil unter einem Gesichtschleier auch ein Man sein kann und vielleicht ein Gefahr für die Umgebung ist. Das kann ich überhaupt nicht nachvollziehen, weil das kein Respekt von dem Gastland ist. Anschließend lässt sich feststellen, dass jeder, der ins Ausland geht soll sich ein bischen an der Kultur des Gastlandes orientieren. Wir sollen immer die Grenze anerkenne, was wir aus unserem Heimatland mitbringen und fortsetzen können.","Das Thema des Aufsatzes ist so interessant , dass ich mich gerne damit beschäftigen werde . In meiner Arbeit geht es um das Thema "" Ist es sinnvoll , auch im Ausland die Traditionen seines Heimatlandes fortzusetzen , oder sollte man sich an der Kultur des Gastlandes orientieren ? "" Ich denke , da müssen wir Folgendes unterscheiden : Aus welchen Land und welcher Kultur man kommt . Wie wichtig sind uns die Traditionen unseres Heimatlandes . Mir scheint in diesem Fall , dass die Menschen , die aus Asien oder Indien stammen , ihre Traditionen tief im Herzen haben . Die werden ziemlich oft versuchen , ihre Kultur im Ausland fortzusetzen . Ich finde , dass manche Traditionen ins Ausland mitgebracht werden sollen . Wir , die in Europa wohnen , können durch einige Traditionen etwas über den Orient erfahren , ohne verreisen zu müssen . Wir können einfach in das asiatische , indische oder mexikanische Restaurant gehen und das Essen anderer Länder geniessen . Das beurteile ich ganz positiv . Leider gibt es auch ganz viele Nachteile , wenn die Ausländer ihre Traditionen fortsetzen wollen , wie z.B. Frauen , die aus den muslimischen Ländern kommen und uns ihre Gesichter nicht zeigen wollen , weil Sie ein Kopftuch und einen Gesichtschleier tragen . Das finde ich nicht in Ordnung , weil unter einem Gesichtschleier auch ein Mann sein kann und vielleicht eine Gefahr für die Umgebung ist . Das kann ich überhaupt nicht nachvollziehen , weil das kein Respekt vor dem Gastland ist . Anschließend lässt sich feststellen , dass jeder , der ins Ausland geht , sich ein bisschen an der Kultur des Gastlandes orientieren soll . Wir sollen immer die Grenze dessen anerkennen , was wir aus unserem Heimatland mitbringen und fortsetzen können .",7.666666666666667,C1,"CEFR Level: C1

Answer:
Das Thema des Aufsatzes ist so interessant, dass ich mich gerne damit beschäftigen werde. In meiner Arbeit geht es um das Thema „Ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes fortzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren?"" Ich denke, da müssen wir Folgendes unterscheiden: Aus welchen Land und Kultur man kommt. Wie sind uns die Traditionen unseres Heimatlandes wichtig. Mir scheint in diesem Fall, dass die Menschen die aus Asien oder Indien stammen habe ihre Traditionen tiff im Herzen. Die werden ziemlich oft versuchen ihre Kultur ins Ausland fortzusetzen. Ich finde, dass manche Traditionen sollen ins Ausland mitgebracht werden. Wir, die in Europa wohnen , können einige Traditionen über den Orient erfahren, ohne verreisen zu müssen. Wir kennen einfach in die Asiatische, Indische oder Mexikanische Restaurant gehen und das Essen anderen Länders genissen. Das beurteile ich ganz positiv. Leider es gibt auch ganz viele Nachteile, wenn die Ausländer ihre Traditionen fortzusetzen wollen, wie z.B. Frauen die aus dem Muslimischen Ländern kommen und uns ihre Gesichter nicht zeigen wollen, weil Sie einen Kopftuch und einen Gesichtschleier tragen. Das finde ich nicht in Ordnung, weil unter einem Gesichtschleier auch ein Man sein kann und vielleicht ein Gefahr für die Umgebung ist. Das kann ich überhaupt nicht nachvollziehen, weil das kein Respekt von dem Gastland ist. Anschließend lässt sich feststellen, dass jeder, der ins Ausland geht soll sich ein bischen an der Kultur des Gastlandes orientieren. Wir sollen immer die Grenze anerkenne, was wir aus unserem Heimatland mitbringen und fortsetzen können."
1091_0000048,1,1,1,1,1,1,1,1,"Stadt X, 04.01.2012 Sehr geehrte Damen Und Herren,d im zwei monaten suche ich Wonhaung mit 67 m Schlafe zimmer, ein Kinder zimmer, Balkon mit Keller. ich mochte für auch ein extra speilt plaze für Kinder. mochte ich zwei hundert Euro im Monate. Warte ich Für Ihre awort. Viele Grüße","Stadt X , 04.01.2012 Sehr geehrte Damen und Herren , in zwei Monaten suche ich eine Wohnung mit 67 m² , einem Schlafezimmer , einem Kinderzimmer , Balkon und Keller . Ich mochte auch einen extra Spieltplatz für Kinder . Ich mochte zweihundert Euro im Monat bezahlen . Ich warte auf Ihre Antwort . Viele Grüße",2.0,A2,"CEFR Level: A2

Answer:
Stadt X, 04.01.2012 Sehr geehrte Damen Und Herren,d im zwei monaten suche ich Wonhaung mit 67 m Schlafe zimmer, ein Kinder zimmer, Balkon mit Keller. ich mochte für auch ein extra speilt plaze für Kinder. mochte ich zwei hundert Euro im Monate. Warte ich Für Ihre awort. Viele Grüße"
1071_0024809,1,0,0,1,1,0,1,1,"Liber Ingo 16.3.2012 Wie geht´s dir, mir geht gut und meine famile auch.aber Ich haber eine Arbeit in Neuburg Mier brauch eine Wohnung. Der Wohnung findet ich mit 75 m². Größe Bitte hilfstu mir suhen eine Wohnung Libern Julia Winkelmann","Lieber Ingo ! 16.3.2012 Wie geht´s dir ? Mir geht es gut und meiner Familie auch . Ich habe eine Arbeit in Neuburg . Ich brauche eine Wohnung . Die Wohnung finde ich mit 75 m ² Größe . Bitte , hilfst du mir , eine Wohnung zu suchen ? Liebe Julia Winkelmann",1.3333333333333333,A1,"CEFR Level: A1

Answer:
Liber Ingo 16.3.2012 Wie geht´s dir, mir geht gut und meine famile auch.aber Ich haber eine Arbeit in Neuburg Mier brauch eine Wohnung. Der Wohnung findet ich mit 75 m². Größe Bitte hilfstu mir suhen eine Wohnung Libern Julia Winkelmann"
1091_0000021,1,1,1,1,2,1,2,1,"Liebe Julia, am diese Wochenende habe ich einen Ausflug nach Berlin geplant. Ich habe eine Fahrkarte für Wochenendenausflug. im Angebot gekauft. Leider ist es nicht so gelungen, wie ich es wollte. Ich möchte dich fragen vielleicht kannst du meine Fahrkarte benutzen, weil du schon am Wochenende deine Eltern in München besuchen wolltest. Bitte schreib mir zurück. Einen schönen Gruß von deiner Freundin Eva","Liebe Julia , an diesem Wochenende habe ich einen Ausflug nach Berlin geplant . Ich habe eine Fahrkarte für den Wochenendausflug im Angebot gekauft . Leider ist es nicht so gelungen , wie ich es wollte . Ich möchte dich etwas fragen ; vielleicht kannst du meine Fahrkarte benutzen , weil du schon am Wochenende deine Eltern in München besuchen wolltest . Bitte schreib mir zurück . Einen schönen Gruß von deiner Freundin Eva",2.6666666666666665,A2,"CEFR Level: A2

Answer:
Liebe Julia, am diese Wochenende habe ich einen Ausflug nach Berlin geplant. Ich habe eine Fahrkarte für Wochenendenausflug. im Angebot gekauft. Leider ist es nicht so gelungen, wie ich es wollte. Ich möchte dich fragen vielleicht kannst du meine Fahrkarte benutzen, weil du schon am Wochenende deine Eltern in München besuchen wolltest. Bitte schreib mir zurück. Einen schönen Gruß von deiner Freundin Eva"
